att0	att1	att2	att3	att4	att5	att6	att7	att8	att9	att10	att11	att12	att13	att14	att15	att16	att17	att18	att19	att20	att21	att22	att23	att24	att25	att26	att27	att28	att29	att30	att31	att32	att33	att34	att35	att36	att37	att38	att39	att40	att41	att42	att43	att44	att45	att46	att47	att48	att49	Class
"s1"	"s2"	"s163"	"s2"	"s49"	"s188"	"s183"	"s119"	"s117"	"s8"	"s26"	"s105"	"s15"	"s52"	"s82"	"s132"	"s78"	"s1"	"s9"	"s77"	"s161"	"s75"	"s134"	"s130"	"s198"	"s18"	"s129"	"s186"	"s160"	"s133"	"s131"	"s66"	"s14"	"s31"	"s184"	"s152"	"s73"	"s116"	"s96"	"s69"	"s110"	"s162"	"s20"	"s44"	"s41"	"s71"	"s113"	"s198"	"s16"	"s153"	true
"s148"	"s103"	"s158"	"s59"	"s198"	"s118"	"s157"	"s24"	"s187"	"s194"	"s119"	"s96"	"s67"	"s16"	"s19"	"s25"	"s21"	"s174"	"s193"	"s125"	"s41"	"s124"	"s157"	"s47"	"s180"	"s55"	"s62"	"s29"	"s64"	"s140"	"s40"	"s175"	"s138"	"s96"	"s188"	"s152"	"s73"	"s116"	"s96"	"s1"	"s128"	"s27"	"s151"	"s113"	"s108"	"s168"	"s103"	"s11"	"s71"	"s3"	true
"s173"	"s13"	"s198"	"s134"	"s142"	"s147"	"s57"	"s11"	"s62"	"s157"	"s169"	"s152"	"s188"	"s129"	"s108"	"s33"	"s104"	"s157"	"s87"	"s173"	"s45"	"s21"	"s156"	"s89"	"s11"	"s193"	"s101"	"s159"	"s36"	"s71"	"s100"	"s188"	"s62"	"s88"	"s10"	"s152"	"s73"	"s116"	"s96"	"s70"	"s92"	"s94"	"s46"	"s48"	"s58"	"s25"	"s62"	"s9"	"s166"	"s114"	true
"s148"	"s63"	"s1"	"s186"	"s99"	"s97"	"s29"	"s35"	"s110"	"s168"	"s174"	"s132"	"s115"	"s21"	"s199"	"s59"	"s59"	"s114"	"s197"	"s172"	"s90"	"s169"	"s181"	"s94"	"s143"	"s11"	"s164"	"s156"	"s102"	"s126"	"s144"	"s191"	"s172"	"s123"	"s140"	"s0"	"s22"	"s65"	"s85"	"s125"	"s78"	"s5"	"s156"	"s4"	"s35"	"s176"	"s166"	"s58"	"s147"	"s30"	true
"s101"	"s86"	"s168"	"s159"	"s66"	"s153"	"s167"	"s64"	"s92"	"s122"	"s90"	"s153"	"s19"	"s11"	"s42"	"s176"	"s31"	"s107"	"s6"	"s104"	"s165"	"s83"	"s110"	"s106"	"s98"	"s103"	"s67"	"s43"	"s105"	"s179"	"s96"	"s108"	"s194"	"s177"	"s89"	"s152"	"s73"	"s116"	"s96"	"s175"	"s54"	"s33"	"s176"	"s96"	"s111"	"s26"	"s148"	"s52"	"s149"	"s89"	true
"s154"	"s188"	"s68"	"s180"	"s113"	"s196"	"s78"	"s101"	"s40"	"s47"	"s68"	"s15"	"s14"	"s109"	"s169"	"s115"	"s157"	"s79"	"s151"	"s17"	"s196"	"s34"	"s127"	"s11"	"s37"	"s30"	"s131"	"s50"	"s194"	"s102"	"s133"	"s25"	"s29"	"s139"	"s75"	"s152"	"s73"	"s116"	"s96"	"s133"	"s99"	"s107"	"s85"	"s136"	"s56"	"s182"	"s20"	"s184"	"s149"	"s182"	true
"s19"	"s65"	"s182"	"s107"	"s143"	"s199"	"s43"	"s169"	"s25"	"s19"	"s186"	"s124"	"s8"	"s69"	"s30"	"s102"	"s125"	"s8"	"s170"	"s149"	"s144"	"s154"	"s130"	"s123"	"s83"	"s121"	"s85"	"s172"	"s119"	"s127"	"s169"	"s14"	"s77"	"s12"	"s102"	"s152"	"s73"	"s116"	"s96"	"s116"	"s130"	"s171"	"s80"	"s31"	"s180"	"s125"	"s27"	"s84"	"s154"	"s75"	true
"s7"	"s118"	"s111"	"s167"	"s183"	"s147"	"s59"	"s159"	"s58"	"s11"	"s27"	"s140"	"s42"	"s182"	"s29"	"s65"	"s99"	"s62"	"s124"	"s156"	"s22"	"s18"	"s47"	"s79"	"s110"	"s150"	"s31"	"s166"	"s196"	"s128"	"s105"	"s179"	"s165"	"s123"	"s24"	"s152"	"s73"	"s116"	"s96"	"s105"	"s35"	"s74"	"s121"	"s189"	"s90"	"s29"	"s79"	"s199"	"s163"	"s46"	true
"s54"	"s55"	"s79"	"s147"	"s173"	"s32"	"s178"	"s92"	"s132"	"s84"	"s161"	"s107"	"s178"	"s138"	"s125"	"s102"	"s174"	"s140"	"s98"	"s16"	"s117"	"s111"	"s124"	"s2"	"s182"	"s147"	"s119"	"s5"	"s11"	"s116"	"s101"	"s119"	"s119"	"s130"	"s195"	"s152"	"s73"	"s116"	"s96"	"s109"	"s141"	"s6"	"s115"	"s155"	"s12"	"s180"	"s56"	"s176"	"s112"	"s89"	true
"s36"	"s185"	"s94"	"s86"	"s179"	"s3"	"s35"	"s4"	"s120"	"s39"	"s12"	"s199"	"s116"	"s42"	"s131"	"s48"	"s46"	"s127"	"s65"	"s119"	"s52"	"s98"	"s197"	"s166"	"s125"	"s20"	"s110"	"s120"	"s11"	"s154"	"s132"	"s133"	"s195"	"s163"	"s199"	"s152"	"s73"	"s116"	"s96"	"s128"	"s127"	"s103"	"s87"	"s166"	"s28"	"s193"	"s105"	"s193"	"s136"	"s127"	true
