1 0.06
1 0.08
1 0.09
1 0.11
1 0.12
1 0.13
1 0.14
1 0.15
1 0.17
1 0.18
1 0.19
1 0.2
2 0.03
2 0.04
2 0.05
2 0.08
2 0.09
2 0.1
2 0.12
2 0.14
2 0.15
2 0.16
2 0.17
2 0.18
2 0.19
2 0.2
3 0.06
3 0.07
3 0.08
3 0.09
3 0.11
3 0.12
3 0.13
3 0.14
3 0.15
3 0.16
3 0.17
3 0.18
3 0.19
3 0.2
3 0.21
4 0.09
4 0.1
4 0.11
4 0.12
4 0.13
4 0.14
4 0.15
4 0.16
4 0.17
4 0.18
4 0.19
4 0.2
4 0.21
5 0.09
5 0.1
5 0.11
5 0.12
5 0.13
5 0.15
5 0.16
5 0.17
5 0.18
5 0.19
5 0.2
5 0.21
6 0.14
6 0.15
6 0.16
6 0.17
6 0.18
6 0.19
6 0.2
6 0.21
7 0.16
7 0.17
7 0.18
7 0.19
7 0.2
7 0.21
8 0.17
8 0.18
8 0.19
8 0.2
8 0.21
